"Bacteroidales"	"Clostridiales"	"Lactobacillales"	"Erysipelotrichales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Verrucomicrobiales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Rhizobiales"	"other"
0.783704216815309	0.170923889514244	0.000432937916702745	0.0123820244176985	0.00242445233353537	8.6587583340549e-05	0.0138540133344878	0	0.00086587583340549	0.00614771841717898	0.00744653216728721	0.00173175166681098
0.908367457312833	0.0692266089778259	0.000656725643204821	0.00544695974658116	0.00761029127713822	0.00193154600942594	0	0.00374719925828633	0.00112029668546705	0.000270416441319632	0.000386309201885189	0.0012361894460326
0.927939093484419	0.0629868980169972	8.85269121813031e-05	0.000752478753541076	0.00199185552407932	0	4.42634560906516e-05	8.85269121813031e-05	0.00225743626062323	0.00084100566572238	0.00115084985835694	0.00185906515580737
0.754910714285714	0.166964285714286	0	0.0133928571428571	0.0142857142857143	0.000892857142857143	0.00401785714285714	0.0303571428571429	0.00803571428571428	0.00580357142857143	0	0.00133928571428571
0.0636122680802726	0.301779628928436	0.190458159787959	0.387353275274517	0	0.00340780007572889	0.0011359333585763	0	0.00567966679288148	0.0132525558500568	0.000757288905717531	0.0325634229458538
0.818369880016549	0.103847745138602	0.00124120810922631	0.0281340504757964	0.000413736036408771	0.0148944973107158	0.00744724865535788	0	0.0148944973107158	0.00786098469176665	0	0.0028961522548614
0.225358630263767	0.715409532623785	0.001388246182323	0.002776492364646	0.00647848218417399	0.000925497454881999	0.014807959278112	0	0.001388246182323	0.00786672836649699	0.012956964368348	0.010643220731143
0.886987787489926	0.0282065587998264	0.0727791209472444	0.00154981092306739	6.19924369226954e-05	0	0.000867894116917736	0	0.00365755377843903	0.000867894116917736	0.00427747814766598	0.000743909243072345
0.281625881377022	0.00165906262961427	0.71049357113231	0.0062214848610535	0	0	0	0	0	0	0	0
0.306595768752121	0.62246860504582	0.00814571784138477	0.0340536259757891	0.0132367914922503	0.00486480371082702	0	0	0.00214956443036543	0.00486480371082702	0.00169702455028849	0.00192329449032696
0.690401258851298	0.0499606608969315	0.000786782061369001	0.011801730920535	0.0035405192761605	0.238001573564123	0	0	0.000786782061369001	0	0	0.004720692368214
0.984482581440756	0.0111499332031651	0.00354537046552256	0.000256910903298736	0	0	0	0	0.000205528722638989	0	0.000102764361319494	0.000256910903298736
0.555877616747182	0.172302737520129	0.00483091787439614	0.0241545893719807	0.0177133655394525	0	0.00515297906602254	0.175201288244766	0.00611916264090177	0.00289855072463768	0.0119162640901771	0.0238325281803543
0	0	0.999807987711213	0	0	0	0	0	0	0	0	0.000192012288786482
0.932167621344589	0.0521555622550497	0.00331624962315345	0.00602954476936991	0.000301477238468496	0	0.00180886343081097	0	0.00180886343081097	0.000602954476936991	0.000301477238468496	0.00150738619234248
0.0982677851617823	0.644514653012311	0.0232051421723499	0.0474997276391764	0.0174310927116244	0.146203290118749	0.000108944329447652	0	0.00326832988342957	0.00196099793005774	0.00119838762392417	0.0163416494171478
0.802934407364787	0.149093785960875	7.1921749136939e-05	0.00481875719217491	0	0	0.0336593785960875	0	0.00172612197928654	0.00273302646720368	0.00244533947065593	0.00251726121979287
0.731723237597911	0.212467362924282	0	0.0097911227154047	0.0231723237597911	0.0202349869451697	0	0	0.00195822454308094	0.000326370757180157	0	0.000326370757180157
0.904607631389489	0.0881929445644348	0	0.00143988480921526	0.000719942404607631	0	0	0	0.00251979841612671	0.000719942404607631	0	0.00179985601151908
0.769193391642371	0.120019436345967	0.00356333009394234	0.000971817298347911	0.0505344995140913	0.000485908649173955	0.00615484288953677	0	0.000161969549724652	0.0252672497570457	0.000161969549724652	0.0234855847100745
0.971497390606182	0.0252910477719791	0.00160578081091931	0	0	0	0	0.000802890405459655	0	0	0	0.000802890405459655
0.868277474668745	0.0702594365883532	0.000501057788664959	0.000890769402071039	0.000501057788664959	0.00022269235051776	0.0558957799799577	0	0.0022269235051776	0.000779423226812159	0	0.000445384701035519
0.763489917765011	0.192125718148023	0.00028162667567872	0.00270361608651571	0.00461867748113101	0	0.0199954939731891	0	0.00264729075137997	0.000394277345950208	0.0121662723893207	0.00157710938380083
0.849481307496575	0.141221374045802	0.000880798590722255	0.000391466040321002	0.000391466040321002	9.78665100802505e-05	0	0	0.00450185946369152	9.78665100802505e-05	0.000391466040321002	0.00254452926208651
0.824990730441231	0.129403040415276	0.00148312940304042	0.00259547645532073	0.000370782350760104	0	0.00741564701520208	0.00667408231368187	0.0218761586948461	0.000741564701520208	0	0.00444938820912125
0.825370675453048	0.156507413509061	0	0.00494233937397035	0.00219659527732015	0.00109829763866008	0	0	0.00796265788028556	0.000274574409665019	0	0.00164744645799012
0.885750339739856	0.0578528441079402	9.706853038245e-05	0.00863909920403805	0.0117452921762765	0.00029120559114735	0.0308677926616191	9.706853038245e-05	0.0015530964861192	0.0005824111822947	0.0001941370607649	0.0023296447291788
0.00279242941358982	0.888923363326094	0.00806701830592616	0.00124107973937325	0.0707415451442755	0.000310269934843314	0	0	0.00651566863170959	0.00558485882717965	0	0.015823766677009
0.866818873668189	0.0703957382039574	0.000380517503805175	0	0.000380517503805175	0	0.0578386605783866	0	0.0015220700152207	0	0.00190258751902588	0.00076103500761035
0.838533674339301	0.124722932651321	8.52514919011083e-05	0.00298380221653879	0.000170502983802217	0.000170502983802217	0.0121909633418585	0	0.00289855072463768	0.00110826939471441	0.0153452685421995	0.00179028132992327
0.663512957630605	0.0793911970382559	0.00164541341011929	0	0.20896750308515	0	0.0431921020156314	0	0.00246812011517894	0	0	0.000822706705059646
0.617574257425743	0.299092409240924	0.000412541254125413	0.0165016501650165	0.00288778877887789	0.000412541254125413	0.0185643564356436	0.00288778877887789	0.00577557755775578	0.0305280528052805	0.000412541254125413	0.00495049504950495
0.637620603205956	0.236268327888779	0.00144343994530122	0.00630555344526324	0.0023550862265441	0	0.0164096330623718	0.00167135151561194	0.0904049228899187	0.00144343994530122	0	0.00607764187495252
